<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,16/11/18,16:03,113010,113040,112980,113010,516
SPFB.RTS-12.18,1,16/11/18,16:04,113010,113040,112960,112960,224
SPFB.RTS-12.18,1,16/11/18,16:05,112960,113050,112940,113050,560
SPFB.RTS-12.18,1,16/11/18,16:06,113050,113060,113010,113010,513
SPFB.RTS-12.18,1,16/11/18,16:07,113020,113040,112970,112980,255
SPFB.RTS-12.18,1,16/11/18,16:08,112990,113030,112970,113010,166
SPFB.RTS-12.18,1,16/11/18,16:09,113000,113000,112910,112930,381
SPFB.RTS-12.18,1,16/11/18,16:10,112930,112930,112860,112880,606
SPFB.RTS-12.18,1,16/11/18,16:11,112880,112940,112830,112830,647
SPFB.RTS-12.18,1,16/11/18,16:12,112830,112860,112800,112840,559
SPFB.RTS-12.18,1,16/11/18,16:13,112850,112960,112840,112960,416
SPFB.RTS-12.18,1,16/11/18,16:14,112960,113040,112950,112950,637
SPFB.RTS-12.18,1,16/11/18,16:15,112960,112970,112920,112930,150
SPFB.RTS-12.18,1,16/11/18,16:16,112920,113000,112910,112980,231
SPFB.RTS-12.18,1,16/11/18,16:17,112980,113050,112960,113040,376
SPFB.RTS-12.18,1,16/11/18,16:18,113030,113050,112940,112970,402
SPFB.RTS-12.18,1,16/11/18,16:19,112970,113040,112960,113010,228
SPFB.RTS-12.18,1,16/11/18,16:20,113020,113110,113020,113090,802
SPFB.RTS-12.18,1,16/11/18,16:21,113090,113110,113030,113080,762
SPFB.RTS-12.18,1,16/11/18,16:22,113070,113110,113070,113090,167
SPFB.RTS-12.18,1,16/11/18,16:23,113080,113100,113050,113060,312
SPFB.RTS-12.18,1,16/11/18,16:24,113070,113130,113050,113100,439
SPFB.RTS-12.18,1,16/11/18,16:25,113090,113140,113090,113130,351
SPFB.RTS-12.18,1,16/11/18,16:26,113120,113120,113010,113040,389
SPFB.RTS-12.18,1,16/11/18,16:27,113040,113060,112970,112980,348
SPFB.RTS-12.18,1,16/11/18,16:28,112980,113020,112960,113020,145
SPFB.RTS-12.18,1,16/11/18,16:29,113020,113020,112950,112990,161
SPFB.RTS-12.18,1,16/11/18,16:30,113000,113020,112960,113010,190
SPFB.RTS-12.18,1,16/11/18,16:31,113010,113010,112950,112970,243
SPFB.RTS-12.18,1,16/11/18,16:32,112980,113040,112980,112990,255
SPFB.RTS-12.18,1,16/11/18,16:33,112980,112990,112910,112920,357
SPFB.RTS-12.18,1,16/11/18,16:34,112920,112950,112880,112890,435
SPFB.RTS-12.18,1,16/11/18,16:35,112900,112970,112900,112940,340
SPFB.RTS-12.18,1,16/11/18,16:36,112920,112980,112880,112960,524
SPFB.RTS-12.18,1,16/11/18,16:37,112950,112970,112830,112830,662
SPFB.RTS-12.18,1,16/11/18,16:38,112840,112890,112770,112880,1398
SPFB.RTS-12.18,1,16/11/18,16:39,112870,112970,112860,112940,1119
SPFB.RTS-12.18,1,16/11/18,16:40,112940,112950,112890,112900,250
SPFB.RTS-12.18,1,16/11/18,16:41,112900,112980,112860,112980,609
SPFB.RTS-12.18,1,16/11/18,16:42,112960,112970,112890,112930,303
SPFB.RTS-12.18,1,16/11/18,16:43,112920,112940,112860,112860,523
SPFB.RTS-12.18,1,16/11/18,16:44,112860,112870,112760,112820,935
SPFB.RTS-12.18,1,16/11/18,16:45,112820,112950,112800,112940,665
SPFB.RTS-12.18,1,16/11/18,16:46,112930,113100,112890,113070,1146
SPFB.RTS-12.18,1,16/11/18,16:47,113070,113160,113070,113100,1086
SPFB.RTS-12.18,1,16/11/18,16:48,113110,113190,113080,113180,780
SPFB.RTS-12.18,1,16/11/18,16:49,113180,113290,113170,113220,1493
SPFB.RTS-12.18,1,16/11/18,16:50,113210,113330,113190,113310,1159
SPFB.RTS-12.18,1,16/11/18,16:51,113310,113340,113190,113220,1611
SPFB.RTS-12.18,1,16/11/18,16:52,113210,113320,113210,113260,730
SPFB.RTS-12.18,1,16/11/18,16:53,113280,113290,113220,113220,254
SPFB.RTS-12.18,1,16/11/18,16:54,113230,113310,113220,113300,452
SPFB.RTS-12.18,1,16/11/18,16:55,113310,113310,113250,113310,606
SPFB.RTS-12.18,1,16/11/18,16:56,113310,113400,113290,113370,1229
SPFB.RTS-12.18,1,16/11/18,16:57,113380,113390,113280,113290,711
SPFB.RTS-12.18,1,16/11/18,16:58,113310,113400,113310,113370,578
SPFB.RTS-12.18,1,16/11/18,16:59,113370,113530,113350,113510,2470
SPFB.RTS-12.18,1,16/11/18,17:00,113520,113560,113490,113520,888
SPFB.RTS-12.18,1,16/11/18,17:01,113520,113540,113430,113480,1597
SPFB.RTS-12.18,1,16/11/18,17:02,113480,113530,113460,113470,699
SPFB.RTS-12.18,1,16/11/18,17:03,113480,113490,113350,113390,1080
SPFB.RTS-12.18,1,16/11/18,17:04,113390,113420,113320,113390,718
SPFB.RTS-12.18,1,16/11/18,17:05,113410,113480,113380,113410,791
SPFB.RTS-12.18,1,16/11/18,17:06,113410,113430,113310,113310,559
SPFB.RTS-12.18,1,16/11/18,17:07,113310,113380,113300,113350,343
SPFB.RTS-12.18,1,16/11/18,17:08,113340,113400,113330,113360,221
SPFB.RTS-12.18,1,16/11/18,17:09,113360,113390,113240,113270,1101
SPFB.RTS-12.18,1,16/11/18,17:10,113270,113300,113210,113270,874
SPFB.RTS-12.18,1,16/11/18,17:11,113280,113490,113260,113360,1141
SPFB.RTS-12.18,1,16/11/18,17:12,113370,113380,113280,113290,440
SPFB.RTS-12.18,1,16/11/18,17:13,113280,113340,113280,113330,75
SPFB.RTS-12.18,1,16/11/18,17:14,113320,113390,113310,113380,182
SPFB.RTS-12.18,1,16/11/18,17:15,113370,113410,113320,113370,182
SPFB.RTS-12.18,1,16/11/18,17:16,113350,113430,113310,113410,442
SPFB.RTS-12.18,1,16/11/18,17:17,113420,113450,113380,113380,300
SPFB.RTS-12.18,1,16/11/18,17:18,113380,113380,113290,113310,565
SPFB.RTS-12.18,1,16/11/18,17:19,113320,113350,113160,113200,1079
SPFB.RTS-12.18,1,16/11/18,17:20,113200,113300,113190,113250,404
SPFB.RTS-12.18,1,16/11/18,17:21,113250,113260,113160,113260,590
SPFB.RTS-12.18,1,16/11/18,17:22,113240,113250,113190,113230,215
SPFB.RTS-12.18,1,16/11/18,17:23,113230,113270,113090,113210,1482
SPFB.RTS-12.18,1,16/11/18,17:24,113220,113240,113180,113200,335
SPFB.RTS-12.18,1,16/11/18,17:25,113210,113230,113180,113200,150
SPFB.RTS-12.18,1,16/11/18,17:26,113210,113210,113100,113110,517
SPFB.RTS-12.18,1,16/11/18,17:27,113120,113170,113100,113120,343
SPFB.RTS-12.18,1,16/11/18,17:28,113110,113200,113110,113190,447
SPFB.RTS-12.18,1,16/11/18,17:29,113210,113220,113140,113170,314
SPFB.RTS-12.18,1,16/11/18,17:30,113180,113250,113130,113170,915
SPFB.RTS-12.18,1,16/11/18,17:31,113180,113230,113030,113050,1727
SPFB.RTS-12.18,1,16/11/18,17:32,113040,113190,113040,113140,1121
SPFB.RTS-12.18,1,16/11/18,17:33,113150,113150,113080,113100,405
SPFB.RTS-12.18,1,16/11/18,17:34,113090,113330,113080,113280,1513
SPFB.RTS-12.18,1,16/11/18,17:35,113290,113310,113150,113160,554
SPFB.RTS-12.18,1,16/11/18,17:36,113160,113210,113090,113150,655
